Data,Time,Tournament,Home_team,H_S,A_S,Away_team,Match_ID,TEC_result,Field_referee,Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-17,20:00,SFL Cup,Viesulas 2,1,4,TEC,14468,won,Artūras Pipiras,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-24,14:00,SFL League,Olimpija,3,2,TEC,14480,lost,Jurij Paškovskij,Fabijoniškių VFM stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-30,18:00,SFL League,TEC,6,1,Naujieji Verkiai,14507,won,Robertas Valikonis,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-07,15:00,SFL League,FKS Ukmergė,2,0,TEC,14540,lost,Robertas Valikonis,Ukmergės centrinis stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-14,17:00,SFL League,GB United-Divenda,3,1,TEC,14566,lost,Darius Petraška,Kaišiadorių centrinis stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-22,20:00,SFL League,TEC,2,3,Ave.Ko.,14599,lost,Artiom Gutovskij,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,19:00,SFL League,Granitas,4,1,TEC,14628,lost,Zigmunt Markovskij,Naujosios Vilnios stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-05,20:00,SFL League,TEC,3,0,Fakyrai-AD MEN,14657,won,Donatas Šimėnas,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-13,20:20,SFL League,Navigatoriai,7,2,TEC,14688,lost,Robertas Valikonis,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-16,21:30,SFL Cup,TEC,0,2,Navigatoriai,14889,lost,Donatas Šimėnas,Fanų stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-19,20:00,SFL League,TEC,1,1,Aktas,14719,draw,Dalius Ramanauskas,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-26,19:00,SFL League,Ozas,4,2,TEC,14749,lost,Jurij Paškovskij,Panerio stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
