Name_Surname,Date_of_birth,Position,Season
Maksimas Bechterevas ,1981-06-05 [39 m.],Vartininkas,2016
Povilas Frankas ,1985-08-06 [34 m.],Vartininkas,2016
Robert Choruzij ,1996-07-15 [24 m.],Vartininkas,2016
Justas Macidulskas ,1998-04-30 [22 m.],Vartininkas,2016
Tadas Jacinavičius ,1987-06-01 [33 m.],Gynėjas,2016
Ernestas Karsten ,1980-01-23 [40 m.],Gynėjas,2016
Mindaugas Kriaučiūnas ,1987-11-11 [32 m.],Gynėjas,2016
Aurimas Baubkus ,1986-12-26 [33 m.],Gynėjas,2016
Mindaugas Baranauskas ,1983-12-23 [36 m.],Gynėjas,2016
Kęstutis Panka ,1981-06-27 [39 m.],Gynėjas,2016
Darius Šimanel ,1984-08-28 [35 m.],Gynėjas,2016
Paulius Lekarevičius ,1987-06-13 [33 m.],Gynėjas,2016
Darius Baltiejus Jr ,1989-03-22 [31 m.],Gynėjas,2016
Matas Juodelis ,1990-05-01 [30 m.],Gynėjas,2016
Vladimiras Medvetski ,1997-07-03 [23 m.],Gynėjas,2016
Vytautas Žičius ,1990-01-05 [30 m.],Saugas,2016
Arvydas Stankevičius ,1988-03-28 [32 m.],Saugas,2016
Donatas Stakauskas ,1978-08-16 [41 m.],Saugas,2016
Eimantas Norkūnas ,1984-02-10 [36 m.],Saugas,2016
Aurimas Tamulionis ,1986-06-11 [34 m.],Saugas,2016
Laurynas Juknys ,1989-03-03 [31 m.],Saugas,2016
Kiril Abaškin ,1990-12-03 [29 m.],Saugas,2016
Ričard Jankovskij ,1990-07-31 [29 m.],Saugas,2016
Gediminas Repšys ,1986-02-22 [34 m.],Saugas,2016
Žygimantas Juknys ,1995-05-20 [25 m.],Saugas,2016
Ugnius Juozaitis ,1993-07-30 [26 m.],Saugas,2016
Artūras Bubokas ,1987-10-25 [32 m.],Saugas,2016
Jonas Poška ,1990-06-25 [30 m.],Saugas,2016
Arminas Mosteika ,1988-02-06 [32 m.],Saugas,2016
Rokas Kulys ,1986-06-06 [34 m.],Puolėjas,2016
Laurynas Zibolis ,1979-12-14 [40 m.],Puolėjas,2016
Alvinas Dūdėnas ,1988-06-11 [32 m.],Puolėjas,2016
Domantas Gegevičius ,1997-07-11 [23 m.],Puolėjas,2016
Lukas Žukauskas ,1999-11-18 [20 m.],Puolėjas,2016
Maksimas Bechterevas ,1981-06-05 [39 m.],Vartininkas,2017
Robert Choruzij ,1996-07-15 [24 m.],Vartininkas,2017
Justas Macidulskas ,1998-04-30 [22 m.],Vartininkas,2017
Tadas Jacinavičius ,1987-06-01 [33 m.],Gynėjas,2017
Ernestas Karsten ,1980-01-23 [40 m.],Gynėjas,2017
Aurimas Baubkus ,1986-12-26 [33 m.],Gynėjas,2017
Kęstutis Panka ,1981-06-27 [39 m.],Gynėjas,2017
Darius Šimanel ,1984-08-28 [35 m.],Gynėjas,2017
Paulius Lekarevičius ,1987-06-13 [33 m.],Gynėjas,2017
Darius Baltiejus Jr ,1989-03-22 [31 m.],Gynėjas,2017
Matas Juodelis ,1990-05-01 [30 m.],Gynėjas,2017
Vladimiras Medvetski ,1997-07-03 [23 m.],Gynėjas,2017
Vytautas Žičius ,1990-01-05 [30 m.],Saugas,2017
Arvydas Stankevičius ,1988-03-28 [32 m.],Saugas,2017
Donatas Stakauskas ,1978-08-16 [41 m.],Saugas,2017
Eimantas Norkūnas ,1984-02-10 [36 m.],Saugas,2017
Ignas Griškonis ,1987-05-14 [33 m.],Saugas,2017
Laurynas Juknys ,1989-03-03 [31 m.],Saugas,2017
Kiril Abaškin ,1990-12-03 [29 m.],Saugas,2017
Gediminas Repšys ,1986-02-22 [34 m.],Saugas,2017
Žygimantas Juknys ,1995-05-20 [25 m.],Saugas,2017
Ugnius Juozaitis ,1993-07-30 [26 m.],Saugas,2017
Artūras Bubokas ,1987-10-25 [32 m.],Saugas,2017
Arminas Mosteika ,1988-02-06 [32 m.],Saugas,2017
Mykolas Antušas ,1999-01-07 [21 m.],Saugas,2017
Arnas Juozaitis ,1989-12-30 [30 m.],Saugas,2017
Domas Verbušaitis ,1999-07-24 [20 m.],Saugas,2017
Rokas Kulys ,1986-06-06 [34 m.],Puolėjas,2017
Laurynas Zibolis ,1979-12-14 [40 m.],Puolėjas,2017
Alvinas Dūdėnas ,1988-06-11 [32 m.],Puolėjas,2017
Domantas Gegevičius ,1997-07-11 [23 m.],Puolėjas,2017
Deividas Alekna ,1999-02-04 [21 m.],Puolėjas,2017
Evaldas Rukas ,1988-07-28 [31 m.],Vartininkas,2018
Justas Macidulskas ,1998-04-30 [22 m.],Vartininkas,2018
Tadas Jacinavičius ,1987-06-01 [33 m.],Gynėjas,2018
Ernestas Karsten ,1980-01-23 [40 m.],Gynėjas,2018
Aurimas Baubkus ,1986-12-26 [33 m.],Gynėjas,2018
Mindaugas Baranauskas ,1983-12-23 [36 m.],Gynėjas,2018
Darius Šimanel ,1984-08-28 [35 m.],Gynėjas,2018
Paulius Lekarevičius ,1987-06-13 [33 m.],Gynėjas,2018
Darius Baltiejus Jr ,1989-03-22 [31 m.],Gynėjas,2018
Matas Juodelis ,1990-05-01 [30 m.],Gynėjas,2018
Tomas Statkevičius ,1989-12-13 [30 m.],Gynėjas,2018
Irmantas Škurenka ,1993-05-20 [27 m.],Gynėjas,2018
Albertas Šaveiko ,1997-07-05 [23 m.],Gynėjas,2018
Vladimiras Medvetski ,1997-07-03 [23 m.],Gynėjas,2018
Miguel Gil Mast ,1993-08-16 [26 m.],Gynėjas,2018
Aurimas Andrulis ,1991-02-17 [29 m.],Gynėjas,2018
Vytautas Žičius ,1990-01-05 [30 m.],Saugas,2018
Arminas Vaskela ,1990-08-12 [29 m.],Saugas,2018
Donatas Stakauskas ,1978-08-16 [41 m.],Saugas,2018
Ignas Griškonis ,1987-05-14 [33 m.],Saugas,2018
Laurynas Juknys ,1989-03-03 [31 m.],Saugas,2018
Kiril Abaškin ,1990-12-03 [29 m.],Saugas,2018
Almantas Tamulionis ,1993-02-27 [27 m.],Saugas,2018
Gediminas Repšys ,1986-02-22 [34 m.],Saugas,2018
Žygimantas Juknys ,1995-05-20 [25 m.],Saugas,2018
Artūras Bubokas ,1987-10-25 [32 m.],Saugas,2018
Arminas Mosteika ,1988-02-06 [32 m.],Saugas,2018
Mykolas Antušas ,1999-01-07 [21 m.],Saugas,2018
Arnas Juozaitis ,1989-12-30 [30 m.],Saugas,2018
Domas Verbušaitis ,1999-07-24 [20 m.],Saugas,2018
Laurynas Zibolis ,1979-12-14 [40 m.],Puolėjas,2018
Valdemar Šaveiko ,1992-02-21 [28 m.],Puolėjas,2018
Alvinas Dūdėnas ,1988-06-11 [32 m.],Puolėjas,2018
Edvardas Laibinis ,1995-03-14 [25 m.],Puolėjas,2018
Domantas Gegevičius ,1997-07-11 [23 m.],Puolėjas,2018
Evaldas Rukas ,1988-07-28 [31 m.],Vartininkas,2019
Justas Macidulskas ,1998-04-30 [22 m.],Vartininkas,2019
Robertas Vrublevskis ,1986-11-30 [33 m.],Gynėjas,2019
Tadas Jacinavičius ,1987-06-01 [33 m.],Gynėjas,2019
Ernestas Karsten ,1980-01-23 [40 m.],Gynėjas,2019
Aurimas Baubkus ,1986-12-26 [33 m.],Gynėjas,2019
Mindaugas Baranauskas ,1983-12-23 [36 m.],Gynėjas,2019
Darius Šimanel ,1984-08-28 [35 m.],Gynėjas,2019
Paulius Lekarevičius ,1987-06-13 [33 m.],Gynėjas,2019
Darius Baltiejus Jr ,1989-03-22 [31 m.],Gynėjas,2019
Matas Juodelis ,1990-05-01 [30 m.],Gynėjas,2019
Irmantas Škurenka ,1993-05-20 [27 m.],Gynėjas,2019
