Season,Month,Tournamnet,Match_ID,Player,Action,Minute
2016,April,SFL Cup,14468,Domantas Gegevičius,goal,4
2016,April,SFL Cup,14468,Aurimas Baubkus,goal,7
2016,April,SFL Cup,14468,Domantas Gegevičius,goal,25
2016,April,SFL Cup,14468,Matas Juodelis,red card,65
2016,April,SFL Cup,14468,Vladimiras Medvetski, yellow card,66
2016,April,SFL Cup,14468,Aurimas Tamulionis,goal,84
2016,April,SFL League,14480,Rokas Kulys,goal,36
2016,April,SFL League,14480,Domantas Gegevičius, yellow card,37
2016,April,SFL League,14480,Ugnius Juozaitis,goal (11m),61
2016,April,SFL League,14480,Aurimas Tamulionis, yellow card,74
2016,April,SFL League,14507,Vytautas Žičius,goal,37
2016,April,SFL League,14507,Domantas Gegevičius,goal,40
2016,April,SFL League,14507,Ugnius Juozaitis, yellow card,52
2016,April,SFL League,14507,Vytautas Žičius,goal,58
2016,April,SFL League,14507,Alvinas Dūdėnas,goal,63
2016,April,SFL League,14507,Vytautas Žičius,goal,66
2016,April,SFL League,14507,Alvinas Dūdėnas,goal,70
2016,April,SFL League,14507,Ernestas Karsten, yellow card,80
2016,April,SFL League,14507,Domantas Gegevičius, yellow card,84
2016,May,SFL League,14540,Vytautas Žičius, yellow card,85
2016,May,SFL League,14566,Arminas Mosteika,goal,35
2016,May,SFL League,14599,Aurimas Baubkus,goal,12
2016,May,SFL League,14599,Ugnius Juozaitis,goal,19
2016,May,SFL League,14599,Darius Šimanel, yellow card,64
2016,June,SFL League,14628,Donatas Stakauskas, yellow card,44
2016,June,SFL League,14628,Tadas Jacinavičius,goal (11m),81
2016,June,SFL League,14657,Paulius Lekarevičius, yellow card,3
2016,June,SFL League,14657,Arvydas Stankevičius,goal,11
2016,June,SFL League,14657,Aurimas Tamulionis,goal,45
2016,June,SFL League,14657,Kiril Abaškin,goal (11m),70
2016,June,SFL League,14688,Kiril Abaškin, yellow card,20
2016,June,SFL League,14688,Matas Juodelis, yellow card,23
2016,June,SFL League,14688,Alvinas Dūdėnas,goal,52
2016,June,SFL League,14688,Donatas Stakauskas,goal,62
2016,June,SFL Cup,14889,Paulius Lekarevičius, yellow card,55
2016,June,SFL Cup,14889,Kiril Abaškin,red card,68
2016,June,SFL League,14719,Arminas Mosteika,goal,36
2016,June,SFL League,14719,Vytautas Žičius, yellow card,82
2016,June,SFL League,14749,Kiril Abaškin,goal,21
2016,June,SFL League,14749,Alvinas Dūdėnas, yellow card,38
2016,June,SFL League,14749,Laurynas Juknys, yellow card,43
2016,June,SFL League,14749,Domantas Gegevičius, yellow card,53
2016,June,SFL League,14749,Domantas Gegevičius, yellow card,62
2016,June,SFL League,14749,Domantas Gegevičius,red card,62
2016,June,SFL League,14749,Alvinas Dūdėnas,goal,70
2016,June,SFL League,14749,Kiril Abaškin, yellow card,71
2016,July,SFL League,14780,Aurimas Baubkus,goal,7
2016,July,SFL League,14780,Vytautas Žičius,goal,51
2016,July,SFL League,14780,Aurimas Baubkus,goal,68
2016,July,SFL League,14780,Ugnius Juozaitis,goal,75
2016,July,SFL League,14780,Donatas Stakauskas,goal,84
2016,July,SFL League,14780,Ugnius Juozaitis, yellow card,90
2016,August,SFL League,15038,Ugnius Juozaitis, yellow card,28
2016,August,SFL League,15038,Vytautas Žičius,goal,47
2016,August,SFL League,15038,Darius Šimanel, yellow card,61
2016,August,SFL League,15038,Vytautas Žičius, yellow card,66
2016,August,SFL League,15038,Kiril Abaškin, yellow card,67
2016,August,SFL League,15038,Domantas Gegevičius, yellow card,76
2016,August,SFL League,15038,Darius Baltiejus Jr, yellow card,77
2016,August,SFL League,15038,Ričard Jankovskij,missed (11m),80
2016,August,SFL League,15065,Lukas Žukauskas,goal,47
2016,August,SFL League,15065,Eimantas Norkūnas,goal,52
2016,August,SFL League,15065,Lukas Žukauskas, yellow card,90
2016,September,SFL League,15098,Vladimiras Medvetski, yellow card,35
2016,September,SFL League,15098,Ernestas Karsten, yellow card,70
2016,September,SFL League,15098,Vytautas Žičius,goal,71
2016,September,SFL League,15098,Arminas Mosteika, yellow card,85
2016,September,SFL League,15124,Ričard Jankovskij,goal,34
2016,September,SFL League,15124,Kiril Abaškin,goal,42
2016,September,SFL League,15124,Aurimas Baubkus,goal,74
2016,September,SFL League,15124,Vladimiras Medvetski, yellow card,83
2016,September,SFL League,15124,Alvinas Dūdėnas, yellow card,87
2016,September,SFL League,15186,Vladimiras Medvetski, yellow card,43
2016,September,SFL League,15186,Eimantas Norkūnas, yellow card,70
2016,September,SFL League,15186,Vytautas Žičius,goal,72
2016,September,SFL League,15186,Domantas Gegevičius, yellow card,88
2016,September,SFL League,15186,Donatas Stakauskas, yellow card,89
2016,September,SFL League,15157,Vytautas Žičius,goal,18
